city,sqft,bedrooms,bathrooms,lot_size_acres,year_built,age_years,school_rating,distance_from_center_miles,property_tax_rate,price,price_per_sqft,zip_code,metro,listing_date
San Antonio,1434,3,3.0,0.197,2020,4,5.8,17.4,0.0219,206772,144.19,78216,San Antonio-New Braunfels,2023-11-17
Houston,1956,4,2.5,0.27,1963,61,6.7,17.7,0.0238,314958,161.02,77007,Houston-The Woodlands-Sugar Land,2023-04-25
San Antonio,1778,2,2.0,0.105,1999,25,7.4,6.2,0.0227,281130,158.12,78209,San Antonio-New Braunfels,2023-03-06
San Antonio,2257,3,3.0,0.238,2011,13,6.2,10.8,0.0222,344183,152.5,78201,San Antonio-New Braunfels,2023-03-16
Austin,1509,3,3.0,0.228,1966,58,8.8,15.7,0.0225,478962,317.4,78704,Austin-Round Rock-Georgetown,2024-03-07
Fort Worth,2227,4,3.5,0.17,2000,24,9.7,16.0,0.0211,473276,212.52,76132,Dallas-Fort Worth-Arlington,2023-12-26
San Antonio,2103,3,2.0,0.221,2023,1,5.2,29.0,0.0231,257219,122.31,78209,San Antonio-New Braunfels,2023-06-03
San Antonio,3323,3,2.0,0.257,1968,56,6.5,11.5,0.0231,479148,144.19,78230,San Antonio-New Braunfels,2024-02-08
Austin,1908,5,5.0,0.173,1976,48,6.5,6.7,0.0221,553211,289.94,78702,Austin-Round Rock-Georgetown,2024-01-16
Houston,2233,3,3.0,0.174,2022,2,7.6,18.0,0.0231,407770,182.61,77002,Houston-The Woodlands-Sugar Land,2024-03-22
Houston,1827,3,2.5,0.279,2003,21,7.9,30.6,0.0249,280973,153.79,77056,Houston-The Woodlands-Sugar Land,2024-05-12
Fort Worth,1309,4,2.5,0.315,1996,28,7.1,11.4,0.0226,221843,169.48,76102,Dallas-Fort Worth-Arlington,2024-04-27
Dallas,2831,3,3.0,0.186,2007,17,7.9,14.1,0.0202,551059,194.65,75205,Dallas-Fort Worth-Arlington,2023-04-10
San Antonio,1404,5,4.0,0.276,1981,43,7.0,13.7,0.0223,254784,181.47,78209,San Antonio-New Braunfels,2024-02-25
Houston,2079,5,4.5,0.191,1976,48,5.1,8.2,0.0227,383086,184.26,77002,Houston-The Woodlands-Sugar Land,2023-08-03
