RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
78701,447,78701,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,522017.62,526846.99,532021.52,532631.7,534279.37,538224.24,541481.18,545244.25,547665.61,552944.12,558104.95,562122.24,571892.9,580701.49,587334.34,596206.76,602838.58,612867.01,621355.35,629709.73,637239.3,648497.81,657276.14,665633.42,674249.11,684765.32,695102.77,705694.88,716486.7,731120.9,740465.17,749693.79,758359.26,770377.69,783772.19,794477.07,803597.3,812860.0,825826.57,839229.54,852346.24,862577.36,875254.21,887814.16,900826.02,915792.6,929228.0,944129.79,941488.81,939480.95,938441.76,931524.07,927836.15,923743.35,919201.65,915685.31,917044.94,911911.79,911825.01,904486.08,909908.79,916722.42,924751.69,933198.07,941951.51,947559.72
78702,3870,78702,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,442469.7,446705.87,449576.44,451002.92,452626.59,454546.47,458406.25,461810.96,466000.25,468664.96,472168.52,476359.85,482586.81,490004.32,495891.34,502293.72,508750.59,514047.95,521995.6,528568.46,535988.23,544265.09,552613.9,561453.6,569148.06,576393.38,584325.04,589547.73,595241.97,601213.38,607831.7,617070.33,624033.08,632061.58,643374.02,651693.62,662259.24,669675.98,678638.71,686205.49,695114.42,706598.36,712829.17,723737.79,734386.29,743358.69,750540.9,761210.88,757718.08,755973.83,753755.47,755116.25,752308.68,747741.79,745900.72,744155.31,744957.18,744588.68,743152.08,744184.99,746740.31,750534.31,753701.76,758096.28,760271.97,767042.53
78703,1474,78703,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,681759.56,684454.73,689889.67,696453.54,705500.61,716606.31,722513.46,725426.19,725864.25,731528.26,734864.89,739093.25,748083.37,758240.56,771280.74,782442.06,793023.88,801662.32,808858.0,819001.95,830335.83,846364.46,858544.34,873095.14,884010.67,893244.31,903163.48,913842.77,932471.83,943228.68,958806.54,969632.64,985917.34,1000858.78,1014400.48,1028478.04,1040856.43,1056821.31,1070174.3,1081221.9,1092213.81,1108070.31,1128832.53,1145177.99,1160802.9,1178049.5,1199157.8,1216735.23,1211585.06,1211971.39,1209894.4,1211839.02,1208869.66,1200802.38,1192271.31,1194599.55,1197193.03,1192956.69,1188006.44,1189651.04,1194027.6,1199180.81,1209889.47,1216926.41,1225426.2,1233403.32
78704,114,78704,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,594727.51,601401.8,605775.05,611185.72,611704.91,615897.44,618650.7,620719.19,623428.97,627168.07,633281.52,635194.55,644145.64,652228.05,660718.09,671955.77,682447.92,694740.3,704144.64,712532.53,722029.47,732663.15,743308.54,751296.76,762018.87,773208.87,789873.4,805379.03,814592.79,825294.78,833225.6,843414.18,856020.54,871101.53,881391.63,892001.44,898743.3,910887.13,920736.33,932164.21,942762.38,955694.45,964034.62,973288.25,993131.4,1003199.5,1013943.41,1033726.2,1039634.15,1032861.25,1028621.61,1026589.74,1028833.96,1022701.53,1018880.88,1018200.28,1016473.72,1012277.24,1008834.01,1001646.38,1007942.21,1014192.3,1021998.04,1027449.39,1036094.99,1046495.46
78745,4015,78745,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,383061.0,385803.51,388504.24,390382.78,393486.12,396125.68,401386.04,406090.31,409403.0,411331.63,412838.24,417203.36,423373.06,429910.13,433678.82,440956.96,447731.49,452508.21,458203.22,464980.57,471563.49,477752.05,484292.25,490706.25,497800.73,506967.47,510161.37,516941.14,524452.05,532260.09,539117.86,543824.27,551972.93,562560.9,567848.08,577269.52,584782.35,592861.72,599289.12,607077.86,617944.63,627676.0,639725.46,650941.27,660911.91,673622.44,683940.3,695214.35,692510.16,690570.88,687054.31,687032.84,682543.14,682097.48,679661.06,680010.23,679501.99,681174.88,680624.72,675372.93,679964.89,682333.87,686049.29,693961.96,700146.97,703579.94
78748,1968,78748,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,351385.6,353879.85,355065.46,356836.03,359667.89,363432.15,366639.9,366686.15,369587.77,372254.76,375322.76,379769.82,382735.93,387415.52,393526.12,397168.29,404487.24,410597.05,417388.22,422516.74,429463.46,436852.56,443273.7,449791.24,456453.11,461661.23,467920.16,474256.93,481442.01,489626.27,494926.18,501669.54,510922.51,516935.68,522897.63,530535.55,539306.98,546875.76,556712.35,565937.29,575289.66,584300.05,596560.4,604545.07,609375.04,620839.07,628678.34,637683.3,638275.49,633292.61,629014.76,624106.03,620746.84,619703.31,618818.72,617475.16,613005.69,606918.35,605196.56,602524.42,607572.46,613104.93,617650.94,623382.98,628175.32,633571.47
78750,1230,78750,zip,TX,TX,Austin,Austin-Round Rock-Georgetown,Austin County,422713.69,425922.23,429952.12,432453.92,436157.24,438862.5,441779.78,445971.63,446426.89,447815.54,448959.01,448958.63,454330.51,461712.61,467781.98,474608.5,482803.87,491486.16,498265.03,507264.07,514505.97,520416.51,526774.34,531809.45,537837.83,544789.89,553730.31,564341.06,569901.77,578552.01,584845.71,593866.43,601947.01,607067.95,617257.52,624778.8,632524.99,639350.41,647046.36,656935.61,665759.74,675736.81,685930.82,698251.5,707308.96,714077.5,726360.83,735807.54,736060.49,734698.88,732205.74,730775.25,732860.18,735228.01,733175.36,731328.18,731495.45,727445.17,725989.7,723755.41,729503.27,732785.96,734421.02,734994.64,737675.79,741824.46
78660,1204,78660,zip,TX,TX,Pflugerville,Austin-Round Rock-Georgetown,Pflugerville County,311897.33,315893.26,319152.65,320465.55,323043.1,324909.89,326907.08,329377.18,332294.64,334282.5,337689.36,338896.33,343647.32,351136.43,356287.34,362807.27,367986.18,373779.14,378948.38,384059.93,388538.66,394479.77,398994.75,405377.37,412372.5,418599.16,424100.08,430615.06,436244.91,443576.73,447349.69,453162.19,456799.97,461146.34,469489.21,477322.9,482975.15,487559.78,490049.47,496111.14,506659.08,514413.32,520751.55,528768.65,533695.25,540690.95,548421.98,555958.23,555609.32,554516.96,553965.2,551159.3,550990.34,552029.95,548767.21,545659.49,546209.17,544257.0,544916.34,542558.16,548724.41,552781.93,557079.63,563594.21,566927.69,569295.54
78613,1221,78613,zip,TX,TX,Cedar Park,Austin-Round Rock-Georgetown,Cedar Park County,393259.23,394164.8,397677.76,399818.73,403994.21,403920.37,405794.68,406582.17,408420.45,411582.85,414242.63,416827.45,422463.97,428636.24,433340.26,440325.95,447365.88,454145.76,461262.04,468129.89,477541.74,484102.55,490434.01,496191.42,501601.5,506751.23,512494.55,519560.81,527355.72,534819.61,541078.81,550115.13,559037.03,566595.8,573418.32,582389.61,590871.49,596576.72,604807.13,613749.87,620685.81,629728.91,635796.68,647246.46,658731.11,667454.32,677526.45,682113.46,677700.84,675070.45,670873.94,670299.13,672304.59,667914.55,664232.74,662709.22,663924.2,659497.74,658011.96,659633.23,660982.0,663068.58,666867.42,670494.0,676821.99,682050.43
78681,4535,78681,zip,TX,TX,Round Rock,Austin-Round Rock-Georgetown,Round Rock County,360603.04,363684.84,365600.51,369557.52,371448.64,373339.37,376558.82,380056.59,383227.9,383972.59,387280.17,388789.43,394506.9,398344.98,404455.18,409138.85,413292.47,419963.61,426147.55,431328.68,439245.09,444813.86,451084.1,457763.18,463320.88,470462.24,476295.8,482375.76,491100.94,496443.25,499800.03,509212.67,520236.1,526886.9,531201.83,538143.87,545215.79,552538.17,558428.13,567217.06,576050.62,581532.77,590894.05,602805.32,611555.57,619498.47,627907.54,637857.22,632631.88,631045.98,628413.64,630012.0,627792.77,629050.65,625080.57,624306.58,623031.88,619538.45,618009.54,618403.56,622131.68,623328.73,627659.19,630353.56,634118.65,638402.27
